DBA,SCORE,count
HUNAN BISTRO,60,10
CARVAL PIZZERIA,58,7
OPEN MARKET,53,7
ORTIZ RESTAURANT,66,7
XING WONG BBQ,63,7
CHA CHA'S BACKYARD GARDEN BAR  CAFE,40,6
CHEF YU / AZUKI,40,6
MEGASUN RESTAURANT,39,6
OH TAISHO,47,6
PIPPALI,44,6
RIDGEWAY DINER,45,6
THAI GRILL SUSHI BAR,41,6
VSPOT ORGANIC,45,6
BERTI RESTAURANT  LOUNGE,38,5
BRICKLANE CURRY HOUSE,34,5
CARMA ASIAN TAPAS,39,5
CAROL'S BUN,32,5
CHINESE FAST WOK,33,5
EL AGUILA,49,5
GOOD ENOUGH TO EAT AG BISTRO,42,5
KING FOOD,41,5
LAN SHENG RESTAURANT SZECHUAN FOOD,41,5
MEE NOODLE  GRILL,37,5
NEW KIM TONG,34,5
SAVOUR SICHUAN,65,5
SAVOY BAKERY,29,5
